pgn,white,black,result,moves,white_acpl,black_acpl,white_accuracy,black_accuracy,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,23,50.9,125.5,81.7,69.3,25.0,9.1,3,2,0,1,5,1
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,43,93.2,133.6,77.1,67.7,31.8,14.3,6,3,3,3,8,4
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,25,107.5,167.1,74.0,61.7,23.1,8.3,0,4,2,1,4,4
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,23,116.9,9207.6,71.0,50.1,8.3,0.0,4,1,3,1,5,4
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,19,40.4,135.0,85.7,62.6,30.0,0.0,3,1,0,0,5,2
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,33,52.9,142.9,81.0,63.6,17.6,0.0,7,1,0,6,4,4
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,11,17.3,158.2,92.7,68.0,16.7,0.0,0,0,0,1,1,1
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,23,31.9,125.4,88.9,69.5,50.0,9.1,2,2,0,1,3,2
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,22,165.3,73.0,62.1,77.8,9.1,36.4,4,0,5,4,1,1
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,36,111.1,62.8,71.0,79.1,16.7,11.1,5,6,2,4,4,0
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,18,129.7,61.0,68.7,79.8,11.1,33.3,2,1,3,4,0,1
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,18,131.6,45.7,65.2,84.5,0.0,33.3,2,3,2,2,1,0
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,18,120.1,29.9,69.0,88.4,0.0,33.3,2,2,2,2,0,0
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,24,87.4,35.4,74.6,88.7,0.0,33.3,4,2,1,1,2,0
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,18,115.7,8.3,69.9,96.5,0.0,44.4,3,1,2,1,0,0
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,22,146.4,54.3,61.4,79.7,0.0,9.1,2,6,2,5,1,0
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,36,130.1,100.6,62.9,71.6,5.6,11.1,6,8,3,6,4,2
UNIFORM_vs_STOCKFISH.pgn,UNIFORM,STOCKFISH,0-1,26,157.8,104.8,59.2,70.0,0.0,15.4,4,5,4,1,6,1
