pgn,white,black,result,moves,white_acpl,black_acpl,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,24,8391.6,16748.1,16.7,25.0,1,5,2,3,4,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,34,5971.8,11876.9,11.8,29.4,4,6,4,2,8,3
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,52,69.9,52.7,7.7,19.2,9,4,1,12,2,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,70,80.7,47.3,5.7,8.6,10,10,1,16,0,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,44,4614.8,9180.6,9.1,18.2,4,6,5,3,3,6
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,42,4817.3,9579.2,4.8,14.3,9,4,3,3,3,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,12,214.5,84.3,16.7,50.0,0,2,2,0,0,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,20,171.0,93.3,10.0,50.0,1,5,2,2,0,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,15,60.4,146.1,25.0,14.3,2,2,0,2,1,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,33,11832.7,6328.7,17.6,6.2,5,5,1,2,6,5
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,33,38.5,98.1,11.8,0.0,5,1,0,5,5,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,35,27.7,97.9,33.3,5.9,4,1,0,3,4,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,61,49.9,94.4,22.6,10.0,11,4,0,4,17,0
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,25,54.2,151.8,23.1,8.3,2,2,0,3,2,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,43,9134.5,4813.5,31.8,0.0,9,1,1,10,4,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,23,58.6,120.2,33.3,0.0,1,1,1,2,5,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,31,12543.9,6680.1,37.5,20.0,3,0,2,4,2,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,41,67.8,105.8,14.3,20.0,6,1,3,7,2,4
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,32,124.9,12585.5,25.0,25.0,3,3,4,5,3,3
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,12545.1,25047.5,12.5,62.5,2,1,4,1,2,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,34,5935.6,11799.2,23.5,17.6,7,4,3,4,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,74,2773.0,5469.1,13.5,16.2,11,15,2,12,7,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,56,3639.4,7204.4,10.7,3.6,9,7,4,9,7,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,18,174.0,108.3,11.1,33.3,1,3,3,0,0,3
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,14,14356.9,28629.9,14.3,42.9,1,2,3,0,1,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,26,7744.8,15422.3,7.7,46.2,7,1,3,5,0,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,30,103.6,35.7,6.7,20.0,3,4,1,2,1,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,44,119.2,92.3,22.7,36.4,3,3,5,4,1,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,41,69.6,129.8,28.6,0.0,9,5,0,5,8,5
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,55,7180.7,3734.7,28.6,14.8,7,0,2,5,4,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,73,2753.0,5598.2,18.9,16.7,7,8,5,8,7,9
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,33,11815.0,6307.1,11.8,6.2,9,1,1,5,6,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,47,54.7,96.3,20.8,4.3,6,3,0,8,8,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,41,9550.6,5019.4,14.3,20.0,7,0,1,5,3,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,31,12522.9,6696.6,31.2,26.7,2,0,1,3,3,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,45,8760.9,4605.9,21.7,13.6,3,8,1,1,10,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,57,46.5,3633.2,24.1,7.1,5,0,2,10,5,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,41,9561.3,5026.8,4.8,20.0,6,1,1,4,6,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,32,6346.1,12587.4,6.2,25.0,1,6,4,5,5,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,22,101.4,23.5,18.2,27.3,0,5,1,3,0,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,80,2579.8,5076.1,7.5,17.5,10,11,7,11,9,4
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,18,11184.0,22299.9,0.0,44.4,1,3,3,1,4,1
